"subject" "item" "condition" "NP1"
"7199" 40 7 1 7.53101633207792
"7212" 41 10 1 6.05208916892442
"7224" 41 7 -1 7.09754885061479
"7236" 41 8 -1 5.79605775076537
"7248" 41 15 -1 5.6970934865054
"7260" 41 11 -1 6.0137151560428
"7272" 41 16 -1 6.60258789218934
"7285" 41 2 1 5.82008293035236
"7297" 41 4 -1 5.89164421182577
"7310" 41 14 1 6.76272950693188
"7323" 41 13 1 6.94022246911964
"7336" 41 6 1 8.20439841814938
"7349" 41 9 1 8.1978140322212
"7362" 41 1 1 7.78696700261487
"7374" 41 3 -1 6.55819780281227
"7386" 41 12 -1 7.51806418123308
"7399" 41 5 1 7.16162200293919
"7412" 42 9 1 5.79605775076537
"7425" 42 12 1 7.79688034278352
"7438" 42 5 1 7.25629723969068
"7451" 42 16 1 7.83557924666997
"7463" 42 11 -1 5.89164421182577
"7476" 42 8 1 6.25575004175337
"7488" 42 10 -1 6.86797440897029
"7501" 42 13 1 6.05208916892442
"7513" 42 15 -1 6.30078579466324
"7526" 42 4 1 6.78105762593618
"7538" 42 2 -1 5.77144112313002
"7550" 42 7 -1 5.97380961186926
"7562" 42 6 -1 5.82304589548302
"7574" 42 3 -1 6.55819780281227
"7587" 42 1 1 5.91079664404053
"7599" 42 14 -1 5.88887795833288
"7611" 43 1 -1 6.07073772800249
"7624" 43 16 1 6.0137151560428
"7637" 43 3 1 7.22766249872865
"7649" 43 9 -1 5.84643877505772
"7661" 43 14 -1 5.99396142730657
"7674" 43 7 1 6.25575004175337
"7687" 43 4 1 6.24222326545517
"7700" 43 15 1 7.36391350140582
"7712" 43 5 -1 5.82008293035236
"7724" 43 13 -1 6.82546003625531
"7736" 43 2 -1 5.79909265446053
"7749" 43 11 1 5.97380961186926
"7762" 43 12 1 6.86066367144829
"7774" 43 10 -1 5.84354441703136
"7786" 43 6 -1 5.74620319054015
"7799" 43 8 1 5.95324333428778
"7811" 44 8 -1 6.55819780281227
"7824" 44 14 1 6.12468339089421
"7837" 44 3 1 6.29894924685594
"7849" 44 5 -1 6.44094654063292
"7861" 44 13 -1 5.93224518744801
"7874" 44 15 1 6.0913098820777
"7887" 44 7 1 6.34388043412633
"7899" 44 16 -1 6.24027584517077
"7912" 44 11 1 6.67708346124714
"7925" 44 10 1 7.02197642307216
"7938" 44 6 1 8.22817689595132
"7950" 44 9 -1 6.17586727010576
"7963" 44 2 1 6.45047042214418
"7975" 44 12 -1 5.72031177660741
"7987" 44 4 -1 6.0330862217988
"7999" 44 1 -1 6.07073772800249
"8012" 45 14 1 6.30078579466324
"8025" 45 2 1 6.78105762593618
"8037" 45 11 -1 5.97380961186926
"8050" 45 10 1 7.37337430991005
"8062" 45 16 -1 7.07749805356923
"8075" 45 9 1 6.54678541076052
"8088" 45 6 1 5.99396142730657
"8100" 45 12 -1 6.25575004175337
"8113" 45 1 1 5.99396142730657
"8126" 45 13 1 6.90073066404517
"8138" 45 7 -1 5.74620319054015
"8150" 45 15 -1 5.82008293035236
"8162" 45 4 -1 6.08904487544685
"8174" 45 8 -1 6.74405918631135
"8186" 45 3 -1 5.79605775076537
"8199" 45 5 1 6.49978704065585
"8212" 46 16 1 6.38519439899773
"8225" 46 1 1 6.68586094706836
"8237" 46 2 -1 6.48920493132532
"8249" 46 3 -1 6.52356230614951
"8262" 46 13 1 6.37331978957701
"8275" 46 12 1 8.06620756800626
"8287" 46 14 -1 5.82304589548302
"8299" 46 11 -1 6.91671502035361
"8312" 46 4 1 5.86929691313377
"8325" 46 9 1 6.74523634948436
"8337" 46 7 -1 5.93224518744801
"8349" 46 6 -1 6.08904487544685
"8362" 46 5 1 6.30078579466324
"8374" 46 10 -1 5.8664680569333
"8386" 46 15 -1 5.64190707093811
"8399" 46 8 1 6.0330862217988
"8411" 47 2 -1 5.99645208861902
"8424" 47 15 1 6.8001700683022
"8437" 47 12 1 7.1929342212158
"8449" 47 5 -1 5.88887795833288
"8461" 47 10 -1 5.84354441703136
"8474" 47 7 1 6.49978704065585
"8487" 47 11 1 6.07073772800249
"8500" 47 3 1 7.19218205871325
"8513" 47 4 1 7.01571242048723
"8525" 47 13 -1 5.83188247728352
"8537" 47 9 -1 5.91350300563827
"8549" 47 6 -1 5.82304589548302
"8562" 47 16 1 5.84643877505772
"8574" 47 1 -1 5.93224518744801
"8587" 47 8 1 6.89365635460264
"8599" 47 14 -1 5.91350300563827
"8611" 48 5 -1 6.07073772800249
"8623" 48 8 -1 5.93224518744801
"8636" 48 2 1 5.52146091786225
"8648" 48 16 -1 6.22455842927536
"8661" 48 14 1 6.52356230614951
"8673" 48 9 -1 6.74523634948436
"8686" 48 10 1 7.50494206839617
"8699" 48 6 1 6.52502965784346
"8711" 48 4 -1 5.74620319054015
"8724" 48 11 1 6.17586727010576
"8737" 48 7 1 6.65544035036765
"8749" 48 13 -1 5.86929691313377
"8762" 48 3 1 6.31535800152233
"8775" 48 15 1 6.41345895716736
"8787" 48 12 -1 5.99645208861902
"8799" 48 1 -1 5.84354441703136
"8812" 49 1 1 6.31716468674728
"8825" 49 5 1 6.52356230614951
"8837" 49 4 -1 6.16120732169508
"8850" 49 10 1 6.15909538849193
"8862" 49 15 -1 6.05443934626937
"8875" 49 14 1 6.14203740558736
"8887" 49 8 -1 6.20859002609663
"8900" 49 6 1 6.28785856016178
"8913" 49 2 1 6.10924758276437
"8926" 49 13 1 6.61472560020376
"8938" 49 12 -1 6.5366915975913
"8950" 49 7 -1 6.15909538849193
"8963" 49 9 1 6.30261897574491
"8975" 49 11 -1 5.95583736946483
"8987" 49 16 -1 5.93224518744801
"8999" 49 3 -1 5.99396142730657
"9011" 5 15 -1 5.93489419561959
"9024" 5 9 1 7.66340766489348
"9037" 5 10 1 5.93224518744801
"9050" 5 13 1 6.19236248947487
"9062" 5 16 -1 6.35957386867238
"9075" 5 5 1 5.8664680569333
"9087" 5 3 -1 5.88887795833288
"9099" 5 7 -1 5.84354441703136
"9112" 5 1 1 7.13648320859025
"9124" 5 12 -1 5.84354441703136
"9136" 5 8 -1 5.74620319054015
"9148" 5 4 -1 5.95324333428778
"9161" 5 2 1 7.4079243225596
