"subj" "item" "rt" "question.acc" "cond_rt" "int"
"6998" 9 10 1635 1 "LI" -1
"7012" 9 27 937 1 "LI" -1
"7026" 9 31 773 0 "HI" 1
"7039" 9 60 969 1 "HI" 1
"7052" 9 52 805 1 "LI" -1
"7066" 9 22 744 0 "LI" -1
"7080" 9 25 1127 1 "HI" 1
"7093" 10 47 318 0 "HI" 1
"7107" 10 53 580 0 "HI" 1
"7119" 10 28 329 1 "HI" 1
"7133" 10 21 429 1 "LI" -1
"7146" 10 48 332 0 "HI" 1
"7160" 10 24 616 0 "HI" 1
"7173" 10 26 325 1 "LI" -1
"7187" 10 49 358 1 "LI" -1
"7201" 10 18 433 0 "HI" 1
"7214" 10 46 451 1 "HI" 1
"7226" 10 50 479 1 "LI" -1
"7239" 10 55 286 0 "LI" -1
"7252" 10 51 386 0 "LI" -1
"7265" 10 23 293 1 "HI" 1
"7278" 10 29 268 1 "HI" 1
"7291" 10 58 300 0 "HI" 1
"7304" 10 9 243 0 "LI" -1
"7317" 10 31 383 0 "LI" -1
"7330" 10 4 297 0 "HI" 1
"7343" 10 56 286 1 "LI" -1
"7356" 10 39 368 0 "LI" -1
"7369" 10 2 297 1 "LI" -1
"7383" 10 13 361 1 "LI" -1
"7396" 10 42 368 0 "HI" 1
"7409" 10 17 297 1 "HI" 1
"7423" 10 30 268 0 "HI" 1
"7436" 10 14 311 1 "LI" -1
"7449" 10 40 322 0 "HI" 1
"7462" 10 7 254 0 "LI" -1
"7475" 10 25 318 0 "LI" -1
"7488" 10 44 307 1 "LI" -1
"7501" 10 15 293 0 "LI" -1
"7514" 10 45 261 0 "LI" -1
"7526" 10 52 347 1 "HI" 1
"7540" 10 57 365 1 "LI" -1
"7552" 10 60 350 0 "HI" 1
"7565" 10 3 257 0 "LI" -1
"7578" 10 38 436 0 "LI" -1
"7591" 10 10 332 1 "HI" 1
"7605" 10 6 340 0 "HI" 1
"7617" 10 22 383 0 "HI" 1
"7631" 10 19 347 1 "LI" -1
"7645" 10 36 304 0 "HI" 1
"7658" 10 37 497 1 "LI" -1
"7672" 10 59 350 1 "HI" 1
"7685" 10 5 422 0 "HI" 1
"7699" 10 43 261 0 "LI" -1
"7712" 10 12 379 0 "HI" 1
"7726" 10 20 411 1 "LI" -1
"7740" 10 54 354 0 "HI" 1
"7752" 10 1 315 1 "LI" -1
"7765" 10 34 372 0 "HI" 1
"7778" 10 35 365 1 "HI" 1
"7791" 10 11 397 1 "HI" 1
"7804" 10 41 354 1 "HI" 1
"7817" 10 32 375 1 "LI" -1
"7831" 10 16 350 1 "HI" 1
"7845" 10 33 325 1 "LI" -1
"7858" 10 8 386 1 "LI" -1
"7871" 10 27 318 1 "LI" -1
"7885" 11 37 451 1 "LI" -1
"7899" 11 44 699 1 "LI" -1
"7912" 11 8 530 1 "LI" -1
"7925" 11 51 573 1 "HI" 1
"7938" 11 10 390 1 "HI" 1
"7952" 11 46 598 1 "HI" 1
"7964" 11 48 512 1 "LI" -1
"7978" 11 4 910 0 "HI" 1
"7991" 11 1 781 1 "LI" -1
"8004" 11 6 731 1 "LI" -1
"8016" 11 19 415 1 "LI" -1
"8030" 11 40 1025 1 "HI" 1
"8043" 11 52 616 1 "HI" 1
"8057" 11 60 358 1 "LI" -1
"8070" 11 24 283 1 "LI" -1
"8083" 11 3 856 1 "HI" 1
"8096" 11 7 487 1 "LI" -1
"8109" 11 12 702 1 "LI" -1
"8123" 11 28 562 1 "HI" 1
"8137" 11 41 1696 1 "HI" 1
"8150" 11 15 415 1 "HI" 1
"8164" 11 50 799 1 "LI" -1
"8177" 11 43 1933 1 "LI" -1
"8190" 11 38 620 1 "LI" -1
"8203" 11 29 516 0 "HI" 1
"8216" 11 53 412 1 "HI" 1
"8228" 11 17 724 1 "HI" 1
"8242" 11 13 1746 0 "LI" -1
"8255" 11 57 476 1 "HI" 1
"8267" 11 21 806 1 "HI" 1
"8280" 11 33 519 1 "HI" 1
"8293" 11 20 404 1 "LI" -1
"8307" 11 22 343 1 "HI" 1
"8321" 11 58 483 1 "HI" 1
"8334" 11 27 702 1 "HI" 1
"8348" 11 2 573 1 "LI" -1
"8362" 11 45 444 1 "HI" 1
"8374" 11 36 1365 1 "LI" -1
"8387" 11 23 806 1 "HI" 1
"8400" 11 59 469 1 "HI" 1
"8413" 11 34 404 1 "HI" 1
"8426" 11 18 462 1 "LI" -1
"8439" 11 30 386 1 "LI" -1
"8452" 11 35 1398 1 "HI" 1
"8465" 11 31 465 1 "LI" -1
"8478" 11 16 666 0 "HI" 1
"8492" 11 56 612 1 "LI" -1
"8505" 11 39 731 1 "HI" 1
"8518" 11 47 659 1 "HI" 1
"8532" 11 55 487 1 "LI" -1
"8545" 11 26 680 1 "LI" -1
"8559" 11 25 551 1 "LI" -1
"8572" 11 32 878 1 "LI" -1
"8586" 11 49 684 1 "LI" -1
"8600" 11 11 422 1 "HI" 1
"8613" 11 54 558 1 "LI" -1
"8625" 11 14 605 1 "LI" -1
"8638" 11 9 584 1 "HI" 1
"8651" 11 5 490 1 "HI" 1
"8665" 12 57 1486 1 "HI" 1
"8677" 12 22 771 0 "HI" 1
"8691" 12 6 749 1 "LI" -1
"8703" 12 51 667 1 "HI" 1
"8716" 12 28 1335 0 "HI" 1
"8730" 12 15 1855 1 "HI" 1
"8744" 12 33 1557 1 "HI" 1
"8757" 12 7 1051 1 "LI" -1
"8770" 12 54 760 1 "LI" -1
"8782" 12 5 907 0 "LI" -1
"8796" 12 60 990 0 "LI" -1
"8809" 12 32 2911 0 "HI" 1
"8823" 12 25 638 1 "LI" -1
"8836" 12 12 889 0 "LI" -1
"8850" 12 30 1169 1 "LI" -1
"8863" 12 29 807 0 "LI" -1
"8876" 12 26 792 0 "HI" 1
"8890" 12 53 756 0 "LI" -1
"8902" 12 35 4170 1 "LI" -1
"8915" 12 13 663 0 "LI" -1
"8928" 12 16 2249 0 "HI" 1
"8942" 12 10 1065 0 "HI" 1
"8956" 12 41 896 0 "LI" -1
"8969" 12 58 649 0 "HI" 1
"8982" 12 50 724 1 "HI" 1
"8995" 12 18 523 0 "LI" -1
"9008" 12 24 850 1 "LI" -1
"9021" 12 45 778 0 "HI" 1
"9033" 12 3 1668 1 "HI" 1
"9046" 12 59 1628 1 "LI" -1
"9059" 12 44 1650 1 "HI" 1
"9072" 12 49 706 1 "LI" -1
"9085" 12 20 666 0 "HI" 1
"9099" 12 17 631 1 "LI" -1
"9113" 12 14 419 1 "HI" 1
"9126" 12 46 3523 1 "HI" 1
"9138" 12 39 699 1 "HI" 1
"9151" 12 1 2044 0 "LI" -1
