"subj" "item" "rt" "int" "expt"
"7168" "dillonE14" "dillonE141" 470 "high" "dillonE1"
"7175" "dillonE14" "dillonE141" 1056 "high" "dillonE1"
"7182" "dillonE14" "dillonE141" 799 "high" "dillonE1"
"7483" "dillonE14" "dillonE18" 514 "low" "dillonE1"
"7490" "dillonE14" "dillonE18" 660 "low" "dillonE1"
"7497" "dillonE14" "dillonE18" 946 "low" "dillonE1"
"7504" "dillonE14" "dillonE18" 774 "low" "dillonE1"
"7511" "dillonE14" "dillonE18" 1082 "low" "dillonE1"
"7518" "dillonE14" "dillonE18" 2186 "low" "dillonE1"
"7567" "dillonE14" "dillonE148" 1694 "low" "dillonE1"
"7574" "dillonE14" "dillonE148" 714 "low" "dillonE1"
"7581" "dillonE14" "dillonE148" 576 "low" "dillonE1"
"7588" "dillonE14" "dillonE148" 566 "low" "dillonE1"
"7595" "dillonE14" "dillonE148" 896 "low" "dillonE1"
"7602" "dillonE14" "dillonE148" 1658 "low" "dillonE1"
"7819" "dillonE14" "dillonE117" 1103 "high" "dillonE1"
"7826" "dillonE14" "dillonE117" 414 "high" "dillonE1"
"7833" "dillonE14" "dillonE117" 373 "high" "dillonE1"
"7840" "dillonE14" "dillonE117" 612 "high" "dillonE1"
"7847" "dillonE14" "dillonE117" 663 "high" "dillonE1"
"7854" "dillonE14" "dillonE117" 1504 "high" "dillonE1"
"7987" "dillonE14" "dillonE133" 867 "high" "dillonE1"
"7994" "dillonE14" "dillonE133" 1036 "high" "dillonE1"
"8001" "dillonE14" "dillonE133" 322 "high" "dillonE1"
"8008" "dillonE14" "dillonE133" 1193 "high" "dillonE1"
"8015" "dillonE14" "dillonE133" 919 "high" "dillonE1"
"8022" "dillonE14" "dillonE133" 934 "high" "dillonE1"
"8155" "dillonE15" "dillonE139" 500 "low" "dillonE1"
"8162" "dillonE15" "dillonE139" 343 "low" "dillonE1"
"8169" "dillonE15" "dillonE139" 566 "low" "dillonE1"
"8176" "dillonE15" "dillonE139" 435 "low" "dillonE1"
"8183" "dillonE15" "dillonE139" 644 "low" "dillonE1"
"8190" "dillonE15" "dillonE139" 929 "low" "dillonE1"
"8239" "dillonE15" "dillonE17" 632 "low" "dillonE1"
"8246" "dillonE15" "dillonE17" 1252 "low" "dillonE1"
"8253" "dillonE15" "dillonE17" 2338 "low" "dillonE1"
"8267" "dillonE15" "dillonE17" 1204 "low" "dillonE1"
"8274" "dillonE15" "dillonE17" 1970 "low" "dillonE1"
"8281" "dillonE15" "dillonE131" 435 "low" "dillonE1"
"8288" "dillonE15" "dillonE131" 402 "low" "dillonE1"
"8295" "dillonE15" "dillonE131" 746 "low" "dillonE1"
"8302" "dillonE15" "dillonE131" 260 "low" "dillonE1"
"8309" "dillonE15" "dillonE131" 614 "low" "dillonE1"
"8316" "dillonE15" "dillonE131" 948 "low" "dillonE1"
"8323" "dillonE15" "dillonE115" 410 "low" "dillonE1"
"8330" "dillonE15" "dillonE115" 946 "low" "dillonE1"
"8337" "dillonE15" "dillonE115" 353 "low" "dillonE1"
"8344" "dillonE15" "dillonE115" 592 "low" "dillonE1"
"8351" "dillonE15" "dillonE115" 1231 "low" "dillonE1"
"8358" "dillonE15" "dillonE115" 1275 "low" "dillonE1"
"8407" "dillonE15" "dillonE148" 687 "high" "dillonE1"
"8414" "dillonE15" "dillonE148" 162 "high" "dillonE1"
"8421" "dillonE15" "dillonE148" 957 "high" "dillonE1"
"8428" "dillonE15" "dillonE148" 294 "high" "dillonE1"
"8435" "dillonE15" "dillonE148" 796 "high" "dillonE1"
"8442" "dillonE15" "dillonE148" 1028 "high" "dillonE1"
"8743" "dillonE15" "dillonE18" 382 "high" "dillonE1"
"8750" "dillonE15" "dillonE18" 573 "high" "dillonE1"
"8757" "dillonE15" "dillonE18" 948 "high" "dillonE1"
"8764" "dillonE15" "dillonE18" 599 "high" "dillonE1"
"8771" "dillonE15" "dillonE18" 772 "high" "dillonE1"
"8778" "dillonE15" "dillonE18" 895 "high" "dillonE1"
"8869" "dillonE15" "dillonE123" 501 "low" "dillonE1"
"8876" "dillonE15" "dillonE123" 759 "low" "dillonE1"
"8883" "dillonE15" "dillonE123" 839 "low" "dillonE1"
"8890" "dillonE15" "dillonE123" 386 "low" "dillonE1"
"8897" "dillonE15" "dillonE123" 987 "low" "dillonE1"
"8904" "dillonE15" "dillonE123" 890 "low" "dillonE1"
"8911" "dillonE15" "dillonE147" 596 "low" "dillonE1"
"8918" "dillonE15" "dillonE147" 1136 "low" "dillonE1"
"8925" "dillonE15" "dillonE147" 1215 "low" "dillonE1"
"8932" "dillonE15" "dillonE147" 789 "low" "dillonE1"
"8939" "dillonE15" "dillonE147" 767 "low" "dillonE1"
"8946" "dillonE15" "dillonE147" 1261 "low" "dillonE1"
"9037" "dillonE15" "dillonE124" 1716 "high" "dillonE1"
"9044" "dillonE15" "dillonE124" 1784 "high" "dillonE1"
"9051" "dillonE15" "dillonE124" 1549 "high" "dillonE1"
"9058" "dillonE15" "dillonE124" 256 "high" "dillonE1"
"9065" "dillonE15" "dillonE124" 197 "high" "dillonE1"
"9072" "dillonE15" "dillonE124" 1839 "high" "dillonE1"
"9331" "dillonE15" "dillonE140" 409 "high" "dillonE1"
"9338" "dillonE15" "dillonE140" 683 "high" "dillonE1"
"9345" "dillonE15" "dillonE140" 2047 "high" "dillonE1"
"9352" "dillonE15" "dillonE140" 369 "high" "dillonE1"
"9359" "dillonE15" "dillonE140" 601 "high" "dillonE1"
"9366" "dillonE15" "dillonE140" 762 "high" "dillonE1"
"9793" "dillonE15" "dillonE116" 2171 "high" "dillonE1"
"9800" "dillonE15" "dillonE116" 1007 "high" "dillonE1"
"9807" "dillonE15" "dillonE116" 1288 "high" "dillonE1"
"9814" "dillonE15" "dillonE116" 939 "high" "dillonE1"
"9821" "dillonE15" "dillonE116" 604 "high" "dillonE1"
"9828" "dillonE15" "dillonE116" 1965 "high" "dillonE1"
"9961" "dillonE15" "dillonE132" 1536 "high" "dillonE1"
"9968" "dillonE15" "dillonE132" 2169 "high" "dillonE1"
"9975" "dillonE15" "dillonE132" 2419 "high" "dillonE1"
"9982" "dillonE15" "dillonE132" 1284 "high" "dillonE1"
"9989" "dillonE15" "dillonE132" 1177 "high" "dillonE1"
"9996" "dillonE15" "dillonE132" 1486 "high" "dillonE1"
"10129" "dillonE16" "dillonE138" 769 "low" "dillonE1"
"10136" "dillonE16" "dillonE138" 868 "low" "dillonE1"
"10143" "dillonE16" "dillonE138" 486 "low" "dillonE1"
"10150" "dillonE16" "dillonE138" 548 "low" "dillonE1"
"10157" "dillonE16" "dillonE138" 537 "low" "dillonE1"
"10164" "dillonE16" "dillonE138" 1215 "low" "dillonE1"
"10255" "dillonE16" "dillonE130" 948 "low" "dillonE1"
"10262" "dillonE16" "dillonE130" 462 "low" "dillonE1"
"10269" "dillonE16" "dillonE130" 1542 "low" "dillonE1"
"10276" "dillonE16" "dillonE130" 833 "low" "dillonE1"
"10283" "dillonE16" "dillonE130" 669 "low" "dillonE1"
"10290" "dillonE16" "dillonE130" 955 "low" "dillonE1"
"10297" "dillonE16" "dillonE114" 1520 "low" "dillonE1"
"10304" "dillonE16" "dillonE114" 606 "low" "dillonE1"
"10311" "dillonE16" "dillonE114" 1264 "low" "dillonE1"
"10318" "dillonE16" "dillonE114" 1035 "low" "dillonE1"
"10325" "dillonE16" "dillonE114" 591 "low" "dillonE1"
"10332" "dillonE16" "dillonE114" 1263 "low" "dillonE1"
"10675" "dillonE16" "dillonE17" 392 "high" "dillonE1"
"10682" "dillonE16" "dillonE17" 1049 "high" "dillonE1"
"10689" "dillonE16" "dillonE17" 3103 "high" "dillonE1"
"10696" "dillonE16" "dillonE17" 630 "high" "dillonE1"
"10703" "dillonE16" "dillonE17" 580 "high" "dillonE1"
"10710" "dillonE16" "dillonE17" 1043 "high" "dillonE1"
"10759" "dillonE16" "dillonE122" 492 "low" "dillonE1"
"10766" "dillonE16" "dillonE122" 558 "low" "dillonE1"
"10773" "dillonE16" "dillonE122" 1087 "low" "dillonE1"
"10780" "dillonE16" "dillonE122" 844 "low" "dillonE1"
"10787" "dillonE16" "dillonE122" 835 "low" "dillonE1"
"10794" "dillonE16" "dillonE122" 1944 "low" "dillonE1"
"10801" "dillonE16" "dillonE146" 824 "low" "dillonE1"
"10808" "dillonE16" "dillonE146" 424 "low" "dillonE1"
"10815" "dillonE16" "dillonE146" 658 "low" "dillonE1"
"10822" "dillonE16" "dillonE146" 302 "low" "dillonE1"
"10829" "dillonE16" "dillonE146" 744 "low" "dillonE1"
"10836" "dillonE16" "dillonE146" 1021 "low" "dillonE1"
"11137" "dillonE16" "dillonE147" 541 "high" "dillonE1"
"11144" "dillonE16" "dillonE147" 284 "high" "dillonE1"
"11151" "dillonE16" "dillonE147" 931 "high" "dillonE1"
"11158" "dillonE16" "dillonE147" 466 "high" "dillonE1"
"11165" "dillonE16" "dillonE147" 479 "high" "dillonE1"
"11172" "dillonE16" "dillonE147" 941 "high" "dillonE1"
"11473" "dillonE16" "dillonE123" 1543 "high" "dillonE1"
"11480" "dillonE16" "dillonE123" 479 "high" "dillonE1"
"11487" "dillonE16" "dillonE123" 1466 "high" "dillonE1"
"11494" "dillonE16" "dillonE123" 1023 "high" "dillonE1"
"11501" "dillonE16" "dillonE123" 642 "high" "dillonE1"
"11508" "dillonE16" "dillonE123" 998 "high" "dillonE1"
"11683" "dillonE16" "dillonE16" 544 "low" "dillonE1"
"11690" "dillonE16" "dillonE16" 412 "low" "dillonE1"
"11697" "dillonE16" "dillonE16" 580 "low" "dillonE1"
"11704" "dillonE16" "dillonE16" 379 "low" "dillonE1"
"11711" "dillonE16" "dillonE16" 476 "low" "dillonE1"
"11718" "dillonE16" "dillonE16" 1445 "low" "dillonE1"
"11767" "dillonE16" "dillonE115" 327 "high" "dillonE1"
"11774" "dillonE16" "dillonE115" 399 "high" "dillonE1"
"11781" "dillonE16" "dillonE115" 410 "high" "dillonE1"
"11788" "dillonE16" "dillonE115" 283 "high" "dillonE1"
"11795" "dillonE16" "dillonE115" 1463 "high" "dillonE1"
"11802" "dillonE16" "dillonE115" 1713 "high" "dillonE1"
"11851" "dillonE16" "dillonE139" 1698 "high" "dillonE1"
"11858" "dillonE16" "dillonE139" 1066 "high" "dillonE1"
"11865" "dillonE16" "dillonE139" 1235 "high" "dillonE1"
"11872" "dillonE16" "dillonE139" 266 "high" "dillonE1"
"11879" "dillonE16" "dillonE139" 797 "high" "dillonE1"
"11886" "dillonE16" "dillonE139" 641 "high" "dillonE1"
"12019" "dillonE16" "dillonE131" 374 "high" "dillonE1"
"12026" "dillonE16" "dillonE131" 746 "high" "dillonE1"
"12033" "dillonE16" "dillonE131" 1135 "high" "dillonE1"
"12040" "dillonE16" "dillonE131" 224 "high" "dillonE1"
"12047" "dillonE16" "dillonE131" 672 "high" "dillonE1"
"12054" "dillonE16" "dillonE131" 1009 "high" "dillonE1"
"12187" "dillonE17" "dillonE113" 944 "low" "dillonE1"
"12194" "dillonE17" "dillonE113" 163 "low" "dillonE1"
"12201" "dillonE17" "dillonE113" 288 "low" "dillonE1"
"12208" "dillonE17" "dillonE113" 179 "low" "dillonE1"
