"subject" "item" "condition" "rawRT"
"5614" 23 14 "subjgap" 273
"5635" 23 15 "objgap" 264
"5647" 23 16 "subjgap" 243
"5662" 24 1 "subjgap" 463
"5679" 24 2 "objgap" 518
"5690" 24 3 "subjgap" 1097
"5709" 24 4 "objgap" 463
"5724" 24 5 "subjgap" 453
"5740" 24 6 "objgap" 433
"5756" 24 7 "subjgap" 761
"5772" 24 8 "objgap" 638
"5788" 24 9 "subjgap" 604
"5805" 24 10 "objgap" 440
"5817" 24 11 "subjgap" 571
"5832" 24 12 "objgap" 843
"5845" 24 13 "subjgap" 552
"5862" 24 14 "objgap" 362
"5879" 24 15 "subjgap" 910
"5895" 24 16 "objgap" 522
"5910" 25 1 "objgap" 1288
"5923" 25 2 "subjgap" 848
"5938" 25 3 "objgap" 605
"5953" 25 4 "subjgap" 551
"5972" 25 5 "objgap" 652
"5984" 25 6 "subjgap" 621
"6004" 25 7 "objgap" 597
"6016" 25 8 "subjgap" 679
"6036" 25 9 "objgap" 648
"6049" 25 10 "subjgap" 534
"6065" 25 11 "objgap" 1344
"6076" 25 12 "subjgap" 653
"6093" 25 13 "objgap" 677
"6106" 25 14 "subjgap" 478
"6127" 25 15 "objgap" 498
"6139" 25 16 "subjgap" 372
"6154" 26 1 "subjgap" 402
"6171" 26 2 "objgap" 390
"6182" 26 3 "subjgap" 304
"6201" 26 4 "objgap" 782
"6216" 26 5 "subjgap" 616
"6232" 26 6 "objgap" 561
"6248" 26 7 "subjgap" 540
"6264" 26 8 "objgap" 938
"6280" 26 9 "subjgap" 592
"6297" 26 10 "objgap" 428
"6309" 26 11 "subjgap" 280
"6324" 26 12 "objgap" 1777
"6337" 26 13 "subjgap" 341
"6354" 26 14 "objgap" 521
"6371" 26 15 "subjgap" 446
"6387" 26 16 "objgap" 515
"6402" 27 1 "objgap" 304
"6415" 27 2 "subjgap" 474
"6430" 27 3 "objgap" 472
"6445" 27 4 "subjgap" 277
"6464" 27 5 "objgap" 319
"6476" 27 6 "subjgap" 701
"6496" 27 7 "objgap" 401
"6508" 27 8 "subjgap" 353
"6528" 27 9 "objgap" 401
"6541" 27 10 "subjgap" 385
"6557" 27 11 "objgap" 295
"6568" 27 12 "subjgap" 442
"6585" 27 13 "objgap" 290
"6598" 27 14 "subjgap" 502
"6619" 27 15 "objgap" 285
"6631" 27 16 "subjgap" 701
"6646" 28 1 "subjgap" 312
"6663" 28 2 "objgap" 324
"6674" 28 3 "subjgap" 260
"6693" 28 4 "objgap" 237
"6708" 28 5 "subjgap" 236
"6724" 28 6 "objgap" 540
"6740" 28 7 "subjgap" 315
"6756" 28 8 "objgap" 1374
"6772" 28 9 "subjgap" 293
"6789" 28 10 "objgap" 540
"6801" 28 11 "subjgap" 233
"6816" 28 12 "objgap" 2223
"6829" 28 13 "subjgap" 281
"6846" 28 14 "objgap" 592
"6863" 28 15 "subjgap" 375
"6879" 28 16 "objgap" 1393
"6894" 29 1 "objgap" 282
"6907" 29 2 "subjgap" 371
"6922" 29 3 "objgap" 378
"6937" 29 4 "subjgap" 395
"6956" 29 5 "objgap" 263
"6968" 29 6 "subjgap" 386
"6988" 29 7 "objgap" 204
"7000" 29 8 "subjgap" 297
"7020" 29 9 "objgap" 430
"7033" 29 10 "subjgap" 470
"7049" 29 11 "objgap" 289
"7060" 29 12 "subjgap" 336
"7077" 29 13 "objgap" 260
"7090" 29 14 "subjgap" 484
"7111" 29 15 "objgap" 376
"7123" 29 16 "subjgap" 410
"7138" 30 1 "subjgap" 270
"7155" 30 2 "objgap" 169
"7166" 30 3 "subjgap" 181
"7185" 30 4 "objgap" 1944
"7200" 30 5 "subjgap" 397
"7216" 30 6 "objgap" 323
"7232" 30 7 "subjgap" 330
"7248" 30 8 "objgap" 2674
"7264" 30 9 "subjgap" 699
"7281" 30 10 "objgap" 625
"7293" 30 11 "subjgap" 311
"7308" 30 12 "objgap" 196
"7321" 30 13 "subjgap" 454
"7338" 30 14 "objgap" 409
"7355" 30 15 "subjgap" 178
"7371" 30 16 "objgap" 1126
"7386" 31 1 "objgap" 527
"7399" 31 2 "subjgap" 463
"7414" 31 3 "objgap" 506
"7429" 31 4 "subjgap" 594
"7448" 31 5 "objgap" 777
"7460" 31 6 "subjgap" 575
"7480" 31 7 "objgap" 495
"7492" 31 8 "subjgap" 530
"7512" 31 9 "objgap" 542
"7525" 31 10 "subjgap" 639
"7541" 31 11 "objgap" 523
"7552" 31 12 "subjgap" 456
"7569" 31 13 "objgap" 501
"7582" 31 14 "subjgap" 508
"7603" 31 15 "objgap" 478
"7615" 31 16 "subjgap" 609
"7630" 32 1 "subjgap" 662
"7647" 32 2 "objgap" 646
"7658" 32 3 "subjgap" 622
"7677" 32 4 "objgap" 599
"7692" 32 5 "subjgap" 763
"7708" 32 6 "objgap" 722
"7724" 32 7 "subjgap" 281
"7740" 32 8 "objgap" 621
"7756" 32 9 "subjgap" 539
"7773" 32 10 "objgap" 816
"7785" 32 11 "subjgap" 871
"7800" 32 12 "objgap" 827
"7813" 32 13 "subjgap" 628
"7830" 32 14 "objgap" 438
"7847" 32 15 "subjgap" 378
"7863" 32 16 "objgap" 495
"7878" 33 1 "objgap" 922
"7891" 33 2 "subjgap" 438
"7906" 33 3 "objgap" 682
"7921" 33 4 "subjgap" 587
"7940" 33 5 "objgap" 539
"7952" 33 6 "subjgap" 951
"7972" 33 7 "objgap" 651
"7984" 33 8 "subjgap" 957
"8004" 33 9 "objgap" 5012
"8017" 33 10 "subjgap" 603
"8033" 33 11 "objgap" 524
"8044" 33 12 "subjgap" 521
"8061" 33 13 "objgap" 569
"8074" 33 14 "subjgap" 447
"8095" 33 15 "objgap" 674
"8107" 33 16 "subjgap" 554
"8122" 34 1 "subjgap" 251
"8139" 34 2 "objgap" 249
"8150" 34 3 "subjgap" 278
"8169" 34 4 "objgap" 324
"8184" 34 5 "subjgap" 240
"8200" 34 6 "objgap" 315
"8216" 34 7 "subjgap" 225
"8232" 34 8 "objgap" 193
"8248" 34 9 "subjgap" 506
"8265" 34 10 "objgap" 253
