"subj" "item" "type" "rt"
"62261" 4 7 "subj-ext" 318
"62381" 4 5 "subj-ext" 270
"62501" 4 13 "subj-ext" 198
"62631" 4 14 "obj-ext" 205
"62761" 4 15 "subj-ext" 197
"62871" 40 4 "obj-ext" 462
"63041" 40 1 "subj-ext" 422
"63191" 40 3 "subj-ext" 421
"63361" 40 15 "subj-ext" 461
"63471" 40 9 "subj-ext" 390
"63631" 40 16 "obj-ext" 294
"63761" 40 8 "obj-ext" 1509
"63891" 40 10 "obj-ext" 358
"64031" 40 2 "obj-ext" 318
"64181" 40 7 "subj-ext" 356
"64301" 40 5 "subj-ext" 1262
"64421" 40 13 "subj-ext" 318
"64551" 40 6 "obj-ext" 438
"64671" 40 14 "obj-ext" 278
"64801" 40 11 "subj-ext" 390
"64931" 5 11 "obj-ext" 431
"65061" 5 16 "subj-ext" 2071
"65191" 5 4 "subj-ext" 278
"65361" 5 1 "obj-ext" 387
"65511" 5 5 "obj-ext" 624
"65631" 5 14 "subj-ext" 583
"65761" 5 15 "obj-ext" 390
"65871" 5 13 "obj-ext" 450
"66001" 5 8 "subj-ext" 1421
"66131" 5 3 "obj-ext" 1859
"66301" 5 9 "obj-ext" 402
"66461" 5 10 "subj-ext" 377
"66601" 5 2 "subj-ext" 495
"66751" 5 7 "obj-ext" 282
"66871" 5 6 "subj-ext" 279
"66991" 6 1 "subj-ext" 299
"67141" 6 6 "obj-ext" 414
"67261" 6 8 "obj-ext" 1003
"67391" 6 7 "subj-ext" 322
"67511" 6 9 "subj-ext" 355
"67671" 6 16 "obj-ext" 841
"67801" 6 4 "obj-ext" 344
"67971" 6 3 "subj-ext" 629
"68141" 6 11 "subj-ext" 526
"68271" 6 15 "subj-ext" 339
"68381" 6 13 "subj-ext" 369
"68511" 6 5 "subj-ext" 621
"68631" 6 2 "obj-ext" 218
"68781" 6 10 "obj-ext" 244
"68921" 6 14 "obj-ext" 193
"69051" 7 2 "subj-ext" 1609
"69201" 7 6 "subj-ext" 647
"69321" 7 1 "obj-ext" 374
"69471" 7 8 "subj-ext" 679
"69601" 7 11 "obj-ext" 342
"69731" 7 4 "subj-ext" 318
"69901" 7 10 "subj-ext" 326
"70041" 7 7 "obj-ext" 254
"70161" 7 15 "obj-ext" 334
"70271" 7 16 "subj-ext" 960
"70401" 7 9 "obj-ext" 430
"70561" 7 13 "obj-ext" 286
"70691" 7 3 "obj-ext" 309
"70861" 7 14 "subj-ext" 438
"70991" 7 5 "obj-ext" 270
"71111" 8 6 "obj-ext" 282
"71231" 8 13 "subj-ext" 729
"71361" 8 16 "obj-ext" 522
"71491" 8 8 "obj-ext" 1635
"71621" 8 9 "subj-ext" 422
"71781" 8 10 "obj-ext" 1396
"71921" 8 5 "subj-ext" 299
"72041" 8 2 "obj-ext" 274
"72191" 8 11 "subj-ext" 350
"72321" 8 7 "subj-ext" 302
"72441" 8 3 "subj-ext" 327
"72611" 8 14 "obj-ext" 305
"72741" 8 4 "obj-ext" 429
"72911" 8 1 "subj-ext" 217
"73061" 8 15 "subj-ext" 344
"73171" 9 10 "subj-ext" 1376
"73311" 9 2 "subj-ext" 903
"73461" 9 3 "obj-ext" 390
"73631" 9 14 "subj-ext" 358
"73761" 9 13 "obj-ext" 382
"73891" 9 4 "subj-ext" 398
"74061" 9 5 "obj-ext" 342
"74181" 9 1 "obj-ext" 334
"74331" 9 9 "obj-ext" 470
"74491" 9 6 "subj-ext" 374
"74611" 9 15 "obj-ext" 406
"74721" 9 16 "subj-ext" 342
"74851" 9 7 "obj-ext" 478
"74971" 9 8 "subj-ext" 510
"75101" 9 11 "obj-ext" 350
